Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Axcelis Technologies Inc. Logo,Data Scientist I,"$102,645","The Supply Chain team is looking for a Data Scientist to support our fast-growing demand for data-driven solutions. You will design and develop algorithms to analyze unstructured, diverse data sources with the goal of optimizing the highly complex supply chain of ion implanters. Moreover, you will build Power BI reports that generate actionable insights for internal users. This job will involve steps from the entire data pipeline: vetting, cleaning and parsing data to make it ready for development, as well as developing, evaluating and presenting models in collaboration with your colleagues and providing support to leadership. You will work in a high-paced business environment, so a hands-on attitude and excellent communication skills are required. This role allows the Data Scientist to grow their data analytics and problem solving skills, while also learning more about supply chain and the semiconductor industry.",4.0,"Beverly, MA",501 to 1000 Employees,1995,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD)
New York City Council Logo,Data Scientist,"$80,000","The New York City Council, an equal opportunity employer, seeks an experienced professional to serve as a Data Scientist in the Legislative Division.
SALARY RANGE:
$75,000 to $85,000
KEY RESPONSIBILITIES:
The Data Scientist will:
Develop and enhance investigations through data analytics.
Collect and utilize data to inform investigations.
Perform complex statistical analyses of sample and aggregate data sets to identify patterns, trends, and systemic issues.",3.9,"New York, NY",Unknown,--,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
Heineken Logo,Data Scientist,"$131,298","About Us
The Lagunitas Brewing Company began on a kitchen stove in Northern California in 1993 and has always looked to the future – whether supporting local communities by turning beer into money for the cause, or fueling stories, songs, and experiences with our IPA. Wherever you go: Beer Speaks, People Mumble.

What You’ll Get
Benefits – Awesome coverage for: Medical, Dental & Vision
Time off - Approx 33 days off in your first year (combo of vacay, holidays and personal days)",4.2,"Petaluma, CA",10000+ Employees,1864,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
CVS Health Logo,Data Scientist - Cost & Ops Analytics,"$129,008","Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.


















$82,915.00 - $175,100.00",3.1,"Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Leidos Logo,Junior Data Scientist,"$75,738","Description
We're looking for a Junior Data Scientist to join our team. The End-User Centric Information Technology (IT) Support (ECIS) program is responsible for providing the support and solutions to Infrastructure and User Services Group initiatives (IUSG) and projects are effectively deployed to create the technology and organization outcomes desired. The ECIS delivers timely, responsive, and fact-based decisions/actions and provide support to our CMS ECIS customers. The ECIS organization, which consists of the Program, Management Office (PMO) and Service Area Organizations, is structured to ensure successful performance of all necessary tasks under the PWS within budget and on schedule. The CTO Organization is a valued strategic team within the ECIS and partners with CMS stakeholders to drive IT innovation and modernization with digital transformation solutions to support ever-evolving business needs of ECIS. As CMS plans new IT paths, the CTO Organization harnesses new technology such as data science, advanced analytics, AI/ML including cloud migration, to provide overarching, innovative, interoperable, and scalable solutions that enables self-service and provide the best end-user experience.
Pay Range $53,950.00 - $97,525.00
01/23/2024",3.8,Remote,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Online Commerce Group (OCG) Logo,Data Scientist - Generative AI,"$97,746","LOCATION
Montgomery, Alabama or Part-Time Remote (For hire or contract)
JOB DESCRIPTION
As a Data Scientist specializing in Generative AI, you will play a crucial role in developing and implementing cutting-edge generative models to solve complex problems and drive innovation. You will collaborate with cross-functional teams of data scientists, machine learning engineers, and domain experts to create novel solutions with real-world impact.
JOB DUTIES
Research, design, and implement generative models for various applications, such as image synthesis, text generation, and data augmentation",3.3,"Montgomery, AL",Unknown,--,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable
Intone Networks Logo,Data Scientist,-1,Responsibilities: -Refactor all models to work with the new data provider. -Document all models and processes. -Streamline the entire process to ensure maximum efficiency. -Take contained data and match new data -Work strong independently but also with other teams to ensure that all data is properly integrated. -Develop new models as needed.,4.3,Remote,4.3,-1,-1,-1,-1,-1
Amira Learning Logo,Junior Data Scientist,-1,"Junior Data Scientist
REMOTE / FULL TIME
APPROX HIRE DATE: February 2024
About Amira Learning:
We believe every child deserves the chance to become a reader. We seek to help more students learn how to read than any other company in the world. Amira is a rapidly growing and renowned AI startup that was recently named by Business Insider as one of 30 startups to bet your career on. The company is the only education company in the Forbes Top 50 AI Companies, was a Time Magazine Best Invention of 2021, has been featured in the NY Times, selected as the “Future of Education” by the Wall Street Journal, won dozens of awards for software excellence, and has exploded into schools across the country.",5.0,Remote,5.0,-1,-1,-1,-1,-1
"Antech Systems, Inc. Logo",Data Scientist,"$107,803","Antech Systems seeks a Data Scientist to support research in a number of areas, including Navy maintenance procedures, policy and best practices. Prior knowledge of Navy maintenance systems is not required. This can be learned on the job. Applicants must have knowledge of database structure and design, query and report writing. Be able to analyze data and think critically. Be proficient with Microsoft Office Applications. Having previous experience with Microsoft SQL Server products is beneficial. Have work experience performing data analysis or independent research experience is preferred. Possess excellent oral and written communication and presentation skills, and be poised and articulate. Be able to interact well with people in a team environment and also work independently. Be able to multi-task.",4.5,"Chesapeake, VA",51 to 200 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Abridge Logo,Research Scientist in ML / NLP (All Ranks),"$225,000","Health care is all about conversations, with over 2B spoken conversations each year between patients and their care teams in just the United States. However, people forget up to 80% of those conversations, leading to worse patient outcomes. And doctors are burning out writing notes in their EMRs instead of focusing on their patients. That’s where Abridge comes in — our audio-based standalone and integrated solutions record and summarize medical conversations, anywhere care happens.
The Role
From transcribing medical conversations to delivering key takeaways, our trailblazing work in machine learning research makes the Abridge experience possible. We're currently looking to hire research scientists with experience in machine learning and natural language processing. The ideal candidate will bring technical mastery, fluency with foundation models, genuine interest in the medical domain, and strong critical thinking skills to the role. At Abridge, all of our ML work has a strong research component, and all of our research scientists contribute directly to real products that impact the lives of doctors.",4.5,Remote,51 to 200 Employees,2018,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
